iteration,latency_ms
0,5720.7190990448
1,5717.630863189697
2,5720.741271972656
3,5718.92237663269
4,5721.311092376709
5,5719.877243041992
6,5719.215869903564
7,5717.008352279663
8,5720.517635345459
9,5719.9413776397705
10,5719.950199127197
11,5720.707416534424
12,5720.676898956299
13,5717.490673065186
14,5720.758438110352
15,5720.794439315796
16,5720.615386962891
17,5718.713760375977
18,5720.392465591431
19,5720.903635025024
20,5717.684507369995
21,5724.358797073364
22,5719.19584274292
23,5721.171617507935
24,5720.135450363159
25,5710.601806640625
26,5718.891382217407
27,5717.996835708618
28,5719.59924697876
29,5716.404438018799
30,5725.008249282837
31,5721.3146686553955
32,5718.095779418945
33,5722.847700119019
34,5719.519853591919
35,5717.015266418457
36,5720.209121704102
37,5720.968246459961
38,5718.93835067749
39,5715.989112854004
40,5719.9273109436035
41,5719.405174255371
42,5717.770099639893
43,5712.890386581421
44,5713.125467300415
45,5716.3989543914795
46,5721.726894378662
47,5719.711780548096
48,5721.52304649353
49,5719.339370727539
50,5719.21706199646
51,5718.078374862671
52,5720.115900039673
53,5719.976425170898
54,5721.17018699646
55,5717.904090881348
56,5720.763444900513
57,5719.467639923096
58,5720.110177993774
59,5720.5235958099365
60,5721.614837646484
61,5718.8615798950195
62,5718.625068664551
63,5720.077037811279
64,5720.374822616577
65,5723.60897064209
66,5719.429731369019
67,5716.85266494751
68,5719.49577331543
69,5720.008850097656
70,5722.8333950042725
71,5717.643260955811
72,5720.109701156616
73,5720.385313034058
74,5725.013494491577
75,5720.457315444946
76,5717.691898345947
77,5719.701528549194
78,5719.930648803711
79,5716.744661331177
80,5721.8475341796875
81,5718.679189682007
82,5719.723463058472
83,5724.1175174713135
84,5719.772577285767
85,5721.233129501343
86,5718.007564544678
87,5720.031261444092
88,5716.975450515747
89,5719.38943862915
90,5719.951152801514
91,5720.432758331299
92,5720.616817474365
93,5721.545457839966
94,5719.78497505188
95,5720.863103866577
96,5721.152782440186
97,5718.611478805542
98,5718.700885772705
99,5720.891714096069
